Timestep	Average_tilde_q6
866	0.726751
867	0.737574
868	0.739249
869	0.721119
870	0.730415
871	0.734966
872	0.735927
873	0.740839
874	0.740889
875	0.739187
876	0.745241
877	0.745470
878	0.737361
879	0.725243
880	0.736523
881	0.728303
882	0.729994
883	0.737778
884	0.740232
885	0.739221
886	0.733529
887	0.741185
888	0.730434
889	0.719773
890	0.733793
891	0.728175
892	0.718889
893	0.738862
894	0.726296
895	0.729962
896	0.731402
897	0.726567
898	0.738030
899	0.727377
900	0.734200
901	0.743969
902	0.729622
903	0.721286
904	0.730780
905	0.731837
906	0.733589
907	0.738749
908	0.743653
909	0.729339
910	0.729609
911	0.728852
912	0.731798
913	0.739097
914	0.733754
915	0.732943
916	0.734711
917	0.726168
918	0.725254
919	0.728618
920	0.730267
921	0.734680
922	0.730901
923	0.733115
924	0.731753
925	0.733227
926	0.730010
927	0.726161
928	0.737284
929	0.737536
930	0.735515
931	0.740182
932	0.737116
933	0.723820
934	0.727592
935	0.732909
936	0.730947
937	0.739960
938	0.740107
939	0.738923
940	0.738449
941	0.741023
942	0.739211
943	0.733184
944	0.733966
945	0.739888
946	0.740942
947	0.740724
948	0.738193
949	0.728215
950	0.731366
951	0.729873
952	0.734811
953	0.735764
954	0.741620
955	0.743861
956	0.744884
957	0.738457
958	0.728168
959	0.734231
960	0.738304
961	0.738708
962	0.752014
963	0.741789
964	0.730763
965	0.732366
966	0.738115
967	0.742287
968	0.735450
969	0.734265
970	0.749388
971	0.732283
972	0.738285
973	0.754256
974	0.736309
975	0.745080
976	0.753510
977	0.736136
978	0.737342
979	0.742039
980	0.740310
981	0.743252
982	0.740284
983	0.740243
984	0.745951
985	0.748880
986	0.746677
987	0.744323
988	0.747212
989	0.740831
990	0.742527
991	0.748366
992	0.740699
993	0.744788
994	0.754944
995	0.734204
996	0.735049
997	0.747203
998	0.734209
999	0.741873
1000	0.750512
1001	0.740633
1002	0.747288
1003	0.747775
1004	0.733456
1005	0.730348
1006	0.735360
1007	0.734611
1008	0.738891
1009	0.747362
1010	0.741605
1011	0.750436
1012	0.745885
1013	0.734981
1014	0.736561
1015	0.734592
1016	0.744012
1017	0.737888
1018	0.740370
1019	0.741961
1020	0.738060
1021	0.738302
1022	0.741346
1023	0.740794
1024	0.745195
1025	0.741511
1026	0.735492
1027	0.743115
1028	0.729488
1029	0.730607
1030	0.742044
1031	0.737765
1032	0.734695
1033	0.737553
1034	0.744098
1035	0.740530
1036	0.744383
1037	0.743789
1038	0.743497
1039	0.742472
1040	0.739506
1041	0.746284
1042	0.747192
1043	0.744623
1044	0.741383
1045	0.744270
1046	0.746798
1047	0.741215
1048	0.735176
1049	0.736917
1050	0.726883
1051	0.738764
1052	0.747514
1053	0.741954
1054	0.736642
1055	0.735880
1056	0.729910
1057	0.732188
1058	0.743950
1059	0.746464
1060	0.736786
1061	0.742218
1062	0.746400
1063	0.741990
1064	0.736637
1065	0.733807
1066	0.741523
1067	0.742327
1068	0.742059
1069	0.744710
1070	0.746836
1071	0.746407
1072	0.748537
1073	0.751747
1074	0.739753
1075	0.742332
1076	0.740271
1077	0.731895
1078	0.740650
1079	0.729103
1080	0.733560
1081	0.746231
1082	0.738950
1083	0.744433
1084	0.738287
1085	0.728543
1086	0.738968
1087	0.738176
1088	0.739437
1089	0.741278
1090	0.739822
1091	0.742260
1092	0.743810
1093	0.721982
1094	0.731783
1095	0.743403
1096	0.740376
1097	0.746501
1098	0.740453
1099	0.742343
1100	0.742651
1101	0.735296
1102	0.734558
1103	0.735235
1104	0.737049
1105	0.740225
1106	0.745110
1107	0.731402
1108	0.735811
1109	0.745638
1110	0.735797
1111	0.738528
1112	0.739933
1113	0.736583
1114	0.739649
1115	0.747486
1116	0.736481
1117	0.737205
1118	0.734046
1119	0.733054
1120	0.739373
1121	0.741441
1122	0.741343
1123	0.745588
1124	0.750497
1125	0.737481
1126	0.735671
1127	0.740056
1128	0.737179
1129	0.743041
1130	0.745478
1131	0.749229
1132	0.752240
1133	0.741103
1134	0.731421
1135	0.735740
1136	0.742768
1137	0.739417
1138	0.736489
1139	0.754929
1140	0.735264
1141	0.734670
1142	0.734066
1143	0.729181
1144	0.741535
1145	0.743193
1146	0.741488
1147	0.746428
1148	0.746139
1149	0.742207
1150	0.734874
1151	0.726262
1152	0.723395
1153	0.736372
1154	0.735379
1155	0.737280
1156	0.731038
1157	0.739104
1158	0.737780
1159	0.736185
1160	0.735810
1161	0.731098
1162	0.725086
1163	0.721829
1164	0.727592
1165	0.727804
1166	0.734704
1167	0.741905
1168	0.735751
1169	0.735731
1170	0.739707
1171	0.732514
1172	0.728028
1173	0.738154
1174	0.740929
1175	0.733402
1176	0.740441
1177	0.745871
1178	0.735050
1179	0.739697
1180	0.747166
1181	0.740893
1182	0.735418
1183	0.728750
1184	0.735098
1185	0.742042
1186	0.737253
1187	0.739029
1188	0.746624
1189	0.732699
1190	0.735704
1191	0.742592
1192	0.730508
1193	0.744178
1194	0.748341
1195	0.740666
1196	0.750447
1197	0.741291
1198	0.738127
1199	0.734208
1200	0.738852
1201	0.741287
1202	0.745615
1203	0.740134
1204	0.739118
1205	0.739020
1206	0.735801
1207	0.732993
1208	0.734243
1209	0.738709
1210	0.735082
1211	0.731971
1212	0.738053
1213	0.737493
1214	0.730779
1215	0.732598
1216	0.730468
1217	0.729880
1218	0.741669
1219	0.740250
1220	0.729060
1221	0.742959
1222	0.736744
1223	0.725226
1224	0.739749
1225	0.745020
1226	0.736784
1227	0.743923
1228	0.753865
1229	0.745904
1230	0.744984
1231	0.747106
1232	0.735210
1233	0.725889
1234	0.737525
1235	0.743470
1236	0.726984
1237	0.727706
1238	0.744149
1239	0.738960
1240	0.738594
1241	0.745086
1242	0.738784
1243	0.738818
1244	0.737156
1245	0.736947
1246	0.741469
1247	0.738831
1248	0.742652
1249	0.745080
1250	0.737974
1251	0.731258
1252	0.739216
1253	0.747586
1254	0.734534
1255	0.735711
1256	0.742335
1257	0.734282
1258	0.736165
1259	0.742323
1260	0.733864
1261	0.729046
1262	0.735081
1263	0.738897
1264	0.728776
1265	0.738850
1266	0.753449
1267	0.733901
1268	0.734374
1269	0.737567
1270	0.736034
1271	0.727503
